date,iso_a3,country_number,currency_code,name,local_price,dollar_price,dollar_ex,usa_price,dollar_ex_implied,over_under_valued
2004-05-01,CAN,124,CAD,Canada,3.19,2.32846715328467,1.37,2.47,1.2914979757085019,-5.730074765802784
2004-05-01,CHL,152,CLP,Chile,1400.0,2.18408736349454,641.0,2.47,566.8016194331983,-11.57541038483646
2004-05-01,CHN,156,CNY,China,10.4,1.256038647343,8.28,2.47,4.2105263157894735,-49.148232901093316
2004-05-01,CZE,203,CZK,Czech Republic,56.42,2.12905660377359,26.5,2.47,22.842105263157894,-13.80337636544191
2004-05-01,DNK,208,DKK,Denmark,27.75,4.46141479099679,6.22,2.47,11.234817813765181,80.62408060715727
2004-05-01,HKG,344,HKD,Hong Kong,12.0,1.54043645699615,7.79,2.47,4.8582995951417,-37.63415153861745
2004-05-01,HUN,348,HUF,Hungary,530.0,2.51184834123223,211.0,2.47,214.5748987854251,1.6942648272156857
2004-05-01,IDN,360,IDR,Indonesia,16100.0,1.76535087719298,9120.0,2.47,6518.218623481781,-28.528304567085737
2004-05-01,JPN,392,JPY,Japan,262.0,2.31858407079646,113.0,2.47,106.07287449392712,-6.130199562896355
2004-05-01,MYS,458,MYR,Malaysia,5.04,1.32631578947368,3.8,2.47,2.040485829959514,-46.303004474749635
2004-05-01,MEX,484,MXN,Mexico,24.0,2.06896551724138,11.6,2.47,9.7165991902834,-16.236213876867232
2004-05-01,NZL,554,NZD,New Zealand,4.35,2.65243902439024,1.64,2.47,1.761133603238866,7.386195319443067
2004-05-01,POL,616,PLN,Poland,6.3,1.62790697674419,3.87,2.47,2.5506072874493926,-34.092834949628106
2004-05-01,RUS,643,RUB,Russia,42.0,1.44827586206897,29.0,2.47,17.00404858299595,-41.36534971380708
2004-05-01,SGP,702,SGD,Singapore,3.3,1.92982456140351,1.71,2.47,1.3360323886639673,-21.869450955323543
2004-05-01,ZAF,710,ZAR,South Africa,12.4,1.86186186186186,6.66,2.47,5.0202429149797565,-24.62097725255621
2004-05-01,KOR,410,KRW,South Korea,3200.0,2.71877655055225,1177.0,2.47,1295.5465587044534,10.071925123572933
2004-05-01,SWE,752,SEK,Sweden,30.0,3.94218134034166,7.61,2.47,12.14574898785425,59.602483414641895
2004-05-01,CHE,756,CHF,Switzerland,6.3,4.88372093023256,1.29,2.47,2.5506072874493926,97.7214951511157
2004-05-01,TWN,158,TWD,Taiwan,75.0,2.24550898203593,33.4,2.47,30.364372469635626,-9.08870518073166
2004-05-01,THA,764,THB,Thailand,59.0,1.44607843137255,40.8,2.47,23.886639676113358,-41.454314519330005
2004-05-01,USA,840,USD,United States,2.47,2.47,1.0,2.47,1.0,-0.0
2004-05-01,PHL,608,PHP,Philippines,69.0,1.23434704830054,55.9,2.47,27.935222672064775,-50.026435291476254
2004-05-01,NOR,578,NOK,Norway,35.5,5.18316275131039,6.8491,2.47,14.37246963562753,109.84464580204012
2004-05-01,PER,604,PEN,Peru,8.99,2.57593123209169,3.49,2.47,3.6396761133603235,4.288713849865999
2004-05-01,TUR,792,TRY,Turkey,3950000.0,2.58001306335728,1531000.0,2.47,1599190.2834008096,4.453970176408206
2004-05-01,VEN,862,VEF,Venezuela,4400.0,1.4779979845482,2977.0,2.47,1781.3765182186232,-40.16202491707681
2004-05-01,EGY,818,EGP,Egypt,10.0,1.61550888529887,6.19,2.47,4.048582995951417,-34.5947819717057
2004-05-01,COL,170,COP,Colombia,6500.0,2.34671441929649,2769.83,2.47,2631.578947368421,-4.991319056822229
2004-05-01,CRI,188,CRC,Costa Rica,1130.0,2.60638911313574,433.55,2.47,457.4898785425101,5.521826442742506
2004-05-01,PAK,586,PKR,Pakistan,110.0,1.90443213296399,57.76,2.47,44.534412955465584,-22.89748449538507
2004-05-01,SAU,682,SAR,Saudi Arabia,2.4,0.639965868487014,3.7502,2.47,0.9716599190283399,-74.09045066854193
2004-05-01,LKA,144,LKR,Sri Lanka,140.0,1.41414141414141,99.0,2.47,56.68016194331983,-42.74731116836381
