Date,Value
2012-12-31,101.6
2013-01-31,101.3
2013-02-28,101.6
2013-03-31,101.8
2013-04-30,101.9
2013-05-31,102.0
2013-06-30,102.1
2013-07-31,101.7
2013-08-31,101.7
2013-09-30,102.0
2013-10-31,101.9
2013-11-30,101.9
2013-12-31,101.7
2014-01-31,101.4
2014-02-28,101.5
2014-03-31,101.8
2014-04-30,101.9
2014-05-31,102.2
2014-06-30,102.1
2014-07-31,101.8
2014-08-31,101.7
2014-09-30,101.9
2014-10-31,101.9
2014-11-30,101.8
2014-12-31,101.3
2015-01-31,100.9
2015-02-28,100.6
2015-03-31,101.0
2015-04-30,100.8
2015-05-31,101.0
2015-06-30,101.1
2015-07-31,100.5
2015-08-31,100.3
2015-09-30,100.4
2015-10-31,100.5
2015-11-30,100.4
2015-12-31,100.0
2016-01-31,99.6
2016-02-29,99.8
2016-03-31,100.1
2016-04-30,100.4
2016-05-31,100.6
2016-06-30,100.7
2016-07-31,100.3
2016-08-31,100.2
2016-09-30,100.2
2016-10-31,100.3
2016-11-30,100.1
2016-12-31,100.0
2017-01-31,100.0
2017-02-28,100.4
2017-03-31,100.7
2017-04-30,100.9
2017-05-31,101.0
2017-06-30,100.9
2017-07-31,100.6
2017-08-31,100.6
2017-09-30,100.9
2017-10-31,100.9
2017-11-30,100.9
2017-12-31,100.8
2018-01-31,100.7
2018-02-28,101.1
2018-03-31,101.5
2018-04-30,101.7
2018-05-31,102.1
2018-06-30,102.1
2018-07-31,101.8
2018-08-31,101.8
2018-09-30,101.9
2018-10-31,102.1
2018-11-30,101.8
2018-12-31,101.5
2019-01-31,101.3
2019-02-28,101.7
2019-03-31,102.2
2019-04-30,102.4
2019-05-31,102.7
2019-06-30,102.7
2019-07-31,102.1
2019-08-31,102.1
2019-09-30,102.0
2019-10-31,101.8
2019-11-30,101.7
2019-12-31,101.7
2020-01-31,101.5
2020-02-29,101.6
2020-03-31,101.7
2020-04-30,101.3
2020-05-31,101.3
2020-06-30,101.4
2020-07-31,101.2
2020-08-31,101.2
2020-09-30,101.2
2020-10-31,101.2
2020-11-30,101.0
2020-12-31,100.9
2021-01-31,100.9
2021-02-28,101.1
2021-03-31,101.4
2021-04-30,101.6
2021-05-31,101.9
2021-06-30,102.0
2021-07-31,101.9
2021-08-31,102.1
2021-09-30,102.2
