Date,Value
2015-07-31,98.3
2015-08-31,98.4
2015-09-30,98.5
2015-10-31,98.5
2015-11-30,98.1
2015-12-31,98.1
2016-01-31,97.7
2016-02-29,97.8
2016-03-31,97.9
2016-04-30,98.1
2016-05-31,98.2
2016-06-30,98.1
2016-07-31,97.9
2016-08-31,97.9
2016-09-30,98.0
2016-10-31,98.6
2016-11-30,98.6
2016-12-31,98.4
2017-01-31,98.2
2017-02-28,98.1
2017-03-31,98.1
2017-04-30,98.5
2017-05-31,98.6
2017-06-30,98.5
2017-07-31,98.3
2017-08-31,98.5
2017-09-30,98.8
2017-10-31,98.8
2017-11-30,99.1
2017-12-31,99.4
2018-01-31,99.5
2018-02-28,99.5
2018-03-31,99.2
2018-04-30,99.1
2018-05-31,99.3
2018-06-30,99.2
2018-07-31,99.2
2018-08-31,99.8
2018-09-30,99.9
2018-10-31,100.2
2018-11-30,100.0
2018-12-31,99.7
2019-01-31,99.7
2019-02-28,99.7
2019-03-31,99.7
2019-04-30,100.0
2019-05-31,100.0
2019-06-30,99.8
2019-07-31,99.8
2019-08-31,100.0
2019-09-30,100.1
2019-10-31,100.4
2019-11-30,100.5
2019-12-31,100.5
2020-01-31,100.5
2020-02-29,100.3
2020-03-31,100.3
2020-04-30,100.2
2020-05-31,100.1
2020-06-30,99.9
2020-07-31,100.0
2020-08-31,100.1
2020-09-30,99.9
2020-10-31,99.8
2020-11-30,99.5
2020-12-31,99.3
2021-01-31,99.8
2021-02-28,99.8
2021-03-31,99.9
2021-04-30,99.1
2021-05-31,99.4
2021-06-30,99.5
2021-07-31,99.7
2021-08-31,99.7
2021-09-30,100.1
2021-10-31,99.9
2021-11-30,100.1
2021-12-31,100.1
2022-01-31,100.3
2022-02-28,100.7
2022-03-31,101.1
2022-04-30,101.5
2022-05-31,101.8
2022-06-30,101.8
2022-07-31,102.3
2022-08-31,102.7
2022-09-30,103.1
2022-10-31,103.7
2022-11-30,103.9
2022-12-31,104.1
2023-01-31,104.7
2023-02-28,104.0
2023-03-31,104.4
2023-04-30,105.1
